住所コード,市区町村名,大字名,字丁目名,街区,地番・戸番,建物名,階数,buildingCode,総部屋数,目標物数,個人の家屋数,事業所数,空き部屋数,その他数,目標物比率,個人の家屋比率,事業所比率,空き部屋比率,その他比率,面積,延床面積,目標物総面積,目標物平均面積,個人の家屋総面積,個人の家屋平均面積,空き部屋総面積,空き部屋平均面積,事業所総面積,事業所平均面積,その他総面積,その他平均面積,飲食件数,物販（食品）件数,物販（衣料）件数,物販（日用雑貨）件数,サービス（レンタル）件数,サービス（冠婚葬祭）件数,サービス（生活関連）件数,サービス（自動車）件数,サービス（その他）件数,量販店件数,金融・保険件数,不動産件数,インフラ件数,専門職件数,スポーツ施設件数,娯楽件数,ホテル・旅館件数,医療・福祉件数,公共件数,教育件数,宅配・引越・郵便件数,運輸件数,建設・設備件数,自動車関連件数,協同組合件数,宗教関連件数,一般業件数,lang,lat,部屋数推定フラグ
13101,千代田区,平河町,１丁目,3,5,アパホテル半蔵門平河町,15,2017,1,0,0,1,0,0,0,0,100,0,0,392.79,5891.85,0,0,0,0,0,0,5891.85,5891.85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,139.7399661,35.6829214,0
13101,千代田区,平河町,１丁目,3,7,アルタ平河町ビル,10,3003,33,0,3,17,13,0,0,9.09,51.52,39.39,0,162.67,1626.7,0,0,122.65,40.88,926.96,71.3,577.09,33.95,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,139.7395631,35.6828253,0
13101,千代田区,平河町,１丁目,3,14,安井平河町ビル,9,3004,10,0,0,10,0,0,0,0,100,0,0,371.89,3347.01,0,0,0,0,0,0,3347.01,334.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,139.7400792,35.6831008,0
13101,千代田区,平河町,１丁目,3,6,ビズマークスコウジマチ,9,3004,14,0,0,10,0,4,0,0,71.43,0,28.57,168.45,1516.05,0,0,0,0,0,0,926.48,92.65,589.58,147.39,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7397678,35.6828339,0
13101,千代田区,平河町,１丁目,3,6,（株）花華,4,1008,2,0,1,1,0,0,0,50,50,0,0,73.35,293.4,0,0,220.05,220.05,0,0,73.35,73.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7396569,35.6828231,0
13101,千代田区,平河町,１丁目,3,9,ブルービル別館,4,3003,15,0,2,12,0,1,0,13.33,80,0,6.67,96.33,385.32,0,0,32.11,16.06,0,0,256.88,21.41,96.33,96.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7394175,35.6829211,0
13101,千代田区,平河町,１丁目,3,8,平河町プラザ,8,1002,39,0,0,2,36,1,0,0,5.13,92.31,2.56,178.17,1425.36,0,0,0,0,1291.73,35.88,89.09,44.54,44.54,44.54,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,139.7394436,35.6827967,0
13101,千代田区,平河町,１丁目,3,2,平河町リリエンハイム,9,3001,30,0,6,12,12,0,0,20,40,40,0,301.54,2713.86,0,0,663.39,110.56,995.08,82.92,1055.39,87.95,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,139.7401753,35.6829556,0
13101,千代田区,平河町,１丁目,3,13,寿ビル,4,3004,4,0,0,1,0,3,0,0,25,0,75,60.83,243.32,0,0,0,0,0,0,60.83,60.83,182.49,60.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7398311,35.6830844,0
13101,千代田区,平河町,１丁目,3,14,近藤ビル,3,1002,1,0,1,0,0,0,0,100,0,0,0,63.3,189.9,0,0,189.9,189.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7398975,35.683075,0
13101,千代田区,平河町,１丁目,3,12,第二秩父屋ビル,8,3004,13,0,0,13,0,0,0,0,100,0,0,136.66,1229.94,0,0,0,0,0,0,1229.94,94.61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,139.7395214,35.6829883,0
13101,千代田区,平河町,１丁目,3,13,ヒューリック平河町ビル,8,3004,12,0,0,11,0,1,0,0,91.67,0,8.33,360.42,3243.78,0,0,0,0,0,0,2883.36,262.12,360.42,360.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,139.7397003,35.683005,0
13101,千代田区,平河町,１丁目,3,10,ブルービル本館,4,3003,15,0,1,13,0,1,0,6.67,86.67,0,6.67,111.64,446.56,0,0,15.95,15.95,0,0,318.97,24.54,111.64,111.64,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7393947,35.6830181,0
